policy,seed,position_error_final_m,velocity_error_final_mps,position_sigma_final_m,used_measurements,rejected_measurements,assoc_bad_accepted,outlier_accepted,eligible_measurements,scenario_id,n_donors,clutter_db,rcs,donor_sigma
RANDOM,330005,4.491996629446301,0.10314050805750276,38.09708118038026,59,0,0,0,159,30,12,15,1000,100
HIGHEST_SNR,330005,28.58829511312306,1.3092169340161226,36.37303731789073,59,0,0,0,159,30,12,15,1000,100
SHORTEST_PULSE,330005,3.1351678229858777,0.1668839187448752,34.89564462039724,59,0,0,0,159,30,12,15,1000,100
METROLOGY_CONDITIONED_EIG,330005,5.079382874571691,0.4312003867693001,34.571489033907774,59,0,0,0,159,30,12,15,1000,100
NO_PASSIVE,330006,459.00898008137534,4.199890892878228,445.27907653515393,0,0,0,0,75,30,12,15,1000,100
RANDOM,330006,41.65803074246412,0.38222907166418524,36.75748471708641,46,1,0,0,75,30,12,15,1000,100
HIGHEST_SNR,330006,19.628004241175557,1.4871234348020084,42.43592997430188,47,0,0,0,75,30,12,15,1000,100
SHORTEST_PULSE,330006,58.85348689552833,1.7107892870318233,33.455069960141174,46,1,0,0,75,30,12,15,1000,100
METROLOGY_CONDITIONED_EIG,330006,41.63216405787919,1.4293082956328484,30.937057221854865,46,1,0,0,75,30,12,15,1000,100
NO_PASSIVE,330007,114.02379566164345,1.08131776947073,445.27907653515393,0,0,0,0,159,30,12,15,1000,100
RANDOM,330007,71.13222424450868,2.1043606673871498,49.21443116188046,58,1,0,0,159,30,12,15,1000,100
HIGHEST_SNR,330007,25.529623867396978,1.2395236016572626,45.49510690999162,59,0,0,0,159,30,12,15,1000,100
SHORTEST_PULSE,330007,11.36259203355777,1.0041177488073196,39.594829216669076,59,0,0,0,159,30,12,15,1000,100
METROLOGY_CONDITIONED_EIG,330007,5.333021828769016,0.5681797668628982,38.251801971701916,59,0,0,0,159,30,12,15,1000,100
NO_PASSIVE,330008,141.46835788556297,2.2918877678266485,445.27907653515393,0,0,0,0,100,30,12,15,1000,100
RANDOM,330008,31.607985422214668,0.31296860319895936,28.65830663525767,56,0,0,0,100,30,12,15,1000,100
HIGHEST_SNR,330008,56.058064911676574,1.6556129209102761,42.70233123061494,55,1,0,0,100,30,12,15,1000,100
SHORTEST_PULSE,330008,10.80020773247982,0.4357592144116297,27.042645346962907,56,0,0,0,100,30,12,15,1000,100
METROLOGY_CONDITIONED_EIG,330008,9.130284393947152,0.20999766547360277,27.39949798245551,56,0,0,0,100,30,12,15,1000,100
NO_PASSIVE,330009,1050.528786427243,1.2316083482655735,445.27907653515393,0,0,0,0,97,30,12,15,1000,100
RANDOM,330009,19.65043439250736,1.1098582302737732,38.790235980199846,33,11,0,0,97,30,12,15,1000,100
HIGHEST_SNR,330009,102.17312655014877,1.3747664017966243,63.24846942518598,21,23,0,0,97,30,12,15,1000,100
SHORTEST_PULSE,330009,22.29555250509295,0.8877107798549277,43.13020935429865,30,14,0,0,97,30,12,15,1000,100
METROLOGY_CONDITIONED_EIG,330009,33.12737663854793,1.0811690100518832,37.894908993975186,32,12,0,0,97,30,12,15,1000,100
NO_PASSIVE,330010,692.9369573864914,1.8176435098163068,445.27907653515393,0,0,0,0,169,30,12,15,1000,100
RANDOM,330010,15.981162677128982,0.7898200673252862,29.501059630689678,56,3,0,0,169,30,12,15,1000,100
HIGHEST_SNR,330010,38.30739336879279,1.5007887632150358,33.34636246121032,57,2,0,0,169,30,12,15,1000,100
SHORTEST_PULSE,330010,22.31134542830795,0.9307019718850438,26.384163130616425,59,0,0,0,169,30,12,15,1000,100
METROLOGY_CONDITIONED_EIG,330010,41.370952774507884,1.5606093749817609,21.179787628956326,57,2,0,0,169,30,12,15,1000,100
NO_PASSIVE,330011,474.59979584875776,2.2495339714322613,445.27907653515393,0,0,0,0,85,30,12,15,1000,100
RANDOM,330011,40.80748252373059,1.1929863820467006,36.05545591370732,57,1,0,0,85,30,12,15,1000,100
HIGHEST_SNR,330011,36.75936286411575,0.8997099866453341,39.72292904713744,57,1,0,0,85,30,12,15,1000,100
SHORTEST_PULSE,330011,17.063694233473456,0.5986449098886147,32.86462487421103,57,1,0,0,85,30,12,15,1000,100
METROLOGY_CONDITIONED_EIG,330011,30.212932918465352,0.6293662973181524,34.321189135192704,57,1,0,0,85,30,12,15,1000,100
NO_PASSIVE,330012,411.5982675063295,1.5841663303520455,445.27907653515393,0,0,0,0,163,30,12,15,1000,100
RANDOM,330012,24.450764799689054,1.671267342779656,48.14772234377887,58,2,0,0,163,30,12,15,1000,100
HIGHEST_SNR,330012,50.09831299399998,1.7259745931905202,70.20512071888322,59,1,0,0,163,30,12,15,1000,100
SHORTEST_PULSE,330012,21.289892252649896,1.05347121203549,49.033255587773546,59,1,0,0,163,30,12,15,1000,100
METROLOGY_CONDITIONED_EIG,330012,23.10886830418536,0.41912078974528877,44.114372658583974,60,0,0,0,163,30,12,15,1000,100
NO_PASSIVE,330013,419.4495835764389,0.6876647288750188,445.27907653515393,0,0,0,0,101,30,12,15,1000,100
RANDOM,330013,44.586109809251795,0.7716288688732263,29.02381605147119,58,1,0,0,101,30,12,15,1000,100
HIGHEST_SNR,330013,4.2576032119597995,0.9430270455177262,31.054471472105465,59,0,0,0,101,30,12,15,1000,100
SHORTEST_PULSE,330013,4.2576032119597995,0.9430270455177262,31.054471472105465,59,0,0,0,101,30,12,15,1000,100
METROLOGY_CONDITIONED_EIG,330013,38.61967077633129,0.7810478473118402,24.978625569511724,59,0,0,0,101,30,12,15,1000,100
NO_PASSIVE,330014,277.77376773063173,3.5222897453699296,445.27907653515393,0,0,0,0,217,30,12,15,1000,100
RANDOM,330014,16.082723436584182,0.09229232232594453,21.93225711598973,59,1,0,0,217,30,12,15,1000,100
HIGHEST_SNR,330014,29.03939477824386,0.6768110829554527,39.1154075441835,59,1,0,0,217,30,12,15,1000,100
SHORTEST_PULSE,330014,15.728323239062462,0.5495462196310761,20.527928288544988,60,0,0,0,217,30,12,15,1000,100
METROLOGY_CONDITIONED_EIG,330014,15.436487944932445,0.5699969101376827,18.96638930097875,58,2,0,0,217,30,12,15,1000,100
NO_PASSIVE,330015,428.24934454474516,2.675694023979675,445.27907653515393,0,0,0,0,185,30,12,15,1000,100
RANDOM,330015,19.968615331395515,0.5489725192736675,24.519926738933915,59,0,0,0,185,30,12,15,1000,100
HIGHEST_SNR,330015,17.427538524937532,0.3288347287578569,36.23910983779222,59,0,0,0,185,30,12,15,1000,100
SHORTEST_PULSE,330015,22.483808017161135,0.48667635236595186,24.688577677663666,59,0,0,0,185,30,12,15,1000,100
