policy,seed,position_error_final_m,velocity_error_final_mps,position_sigma_final_m,used_measurements,rejected_measurements,assoc_bad_accepted,outlier_accepted,eligible_measurements
NO_PASSIVE,260946,365.36951858284885,0.5653691868858798,445.27907653515393,0,0,0,0,12
RANDOM,260946,9.080873750650639,0.9659627872651053,72.93903165878072,12,0,0,0,12
HIGHEST_SNR,260946,9.080873750650639,0.9659627872651053,72.93903165878072,12,0,0,0,12
SHORTEST_PULSE,260946,9.080873750650639,0.9659627872651053,72.93903165878072,12,0,0,0,12
METROLOGY_CONDITIONED_EIG,260946,9.080873750650639,0.9659627872651053,72.93903165878072,12,0,0,0,12
NO_PASSIVE,260947,161.96876163505706,1.0709940473184103,445.27907653515393,0,0,0,0,61
RANDOM,260947,35.4577717155949,1.0816479869370021,30.232819733250423,40,0,0,0,61
HIGHEST_SNR,260947,29.748674549842093,2.0712968113839634,75.21394858982929,40,0,0,0,61
SHORTEST_PULSE,260947,15.22330142035624,0.7995801209971171,23.148579960956425,40,0,0,0,61
METROLOGY_CONDITIONED_EIG,260947,13.84351435048188,0.7201312151305304,23.240501570928135,40,0,0,0,61
NO_PASSIVE,260948,357.4854965243629,1.4182397725860945,445.27907653515393,0,0,0,0,78
RANDOM,260948,3.280228253263997,0.3362105501178667,19.13903887022507,53,0,0,0,78
HIGHEST_SNR,260948,15.200277212288993,0.661930130795895,18.56127277888163,52,1,0,0,78
SHORTEST_PULSE,260948,8.378008843774719,0.5955912446278483,18.89175098004713,52,1,0,0,78
METROLOGY_CONDITIONED_EIG,260948,13.401377965119169,0.6483336596549861,18.349773352021625,52,1,0,0,78
NO_PASSIVE,260949,559.2300557119178,2.143028686804079,445.27907653515393,0,0,0,0,109
RANDOM,260949,10.234753347658767,0.18423442833304038,23.78050200899875,56,0,0,0,109
HIGHEST_SNR,260949,6.775192179239892,0.18031744725031948,26.550599398194283,55,1,0,0,109
SHORTEST_PULSE,260949,8.695311799528628,0.8380524439073013,22.948611714794584,55,1,0,0,109
METROLOGY_CONDITIONED_EIG,260949,13.505040565744682,0.5777236839571105,23.06387093636192,55,1,0,0,109
NO_PASSIVE,260950,566.9818231837635,1.2885692363667884,445.27907653515393,0,0,0,0,27
RANDOM,260950,17.374754688867448,1.2225957314817844,41.549982275081824,21,0,0,0,27
HIGHEST_SNR,260950,18.453739631108633,1.4564022537025672,41.58813481600546,21,0,0,0,27
SHORTEST_PULSE,260950,18.453739631108633,1.4564022537025672,41.58813481600546,21,0,0,0,27
METROLOGY_CONDITIONED_EIG,260950,21.57685496401966,1.5966219995669846,41.774237026681384,21,0,0,0,27
NO_PASSIVE,260951,328.80113047778667,0.7395385796602696,445.27907653515393,0,0,0,0,29
RANDOM,260951,10.627375586575658,1.5545316461574246,36.210394965481186,26,1,0,0,29
HIGHEST_SNR,260951,14.656594365901313,1.6407176605485891,34.91035816967522,26,1,0,0,29
SHORTEST_PULSE,260951,11.749738061111026,0.26424977746612505,36.12787278987097,27,0,0,0,29
METROLOGY_CONDITIONED_EIG,260951,14.656594365901313,1.6407176605485891,34.91035816967522,26,1,0,0,29
NO_PASSIVE,260952,288.1366692228333,1.528225336955231,445.27907653515393,0,0,0,0,131
RANDOM,260952,16.46235779851327,0.6288253450471801,19.325215587696906,58,0,0,0,131
HIGHEST_SNR,260952,50.92708535329495,1.4142139278510129,33.86730632175726,58,0,0,0,131
SHORTEST_PULSE,260952,2.7596641307589453,0.19748661070878343,15.372662004934465,58,0,0,0,131
METROLOGY_CONDITIONED_EIG,260952,5.091485576997549,0.14373132938350974,15.470738305548455,58,0,0,0,131
NO_PASSIVE,260953,461.75030711307767,3.2726087831153845,445.27907653515393,0,0,0,0,25
RANDOM,260953,27.01183394584054,1.1933312513735983,38.4224495370855,24,0,0,0,25
HIGHEST_SNR,260953,33.23707198629279,0.7482765078044972,38.64730341181141,24,0,0,0,25
SHORTEST_PULSE,260953,27.01183394584054,1.1933312513735983,38.4224495370855,24,0,0,0,25
METROLOGY_CONDITIONED_EIG,260953,27.01183394584054,1.1933312513735983,38.4224495370855,24,0,0,0,25
NO_PASSIVE,260954,199.79448072689732,1.670446474354253,445.27907653515393,0,0,0,0,36
RANDOM,260954,20.61880702024947,0.630214900043446,35.30377645678033,23,1,0,0,36
HIGHEST_SNR,260954,9.611173006679154,1.015090239223599,32.259697614204526,24,0,0,0,36
SHORTEST_PULSE,260954,23.894229147995556,0.5533880409949958,22.78032455596014,24,0,0,0,36
METROLOGY_CONDITIONED_EIG,260954,24.324149717466728,0.37966801192545674,22.776928067921354,24,0,0,0,36
NO_PASSIVE,260955,326.33774300682916,3.0367681816392653,445.27907653515393,0,0,0,0,23
RANDOM,260955,43.234365350378354,1.1634667579001305,41.03644013517281,19,0,0,0,23
HIGHEST_SNR,260955,53.45953876317015,1.3019213726544958,44.6437963328239,19,0,0,0,23
SHORTEST_PULSE,260955,46.16152065997562,0.8259466432145662,41.033728755110424,19,0,0,0,23
METROLOGY_CONDITIONED_EIG,260955,43.234365350378354,1.1634667579001305,41.03644013517281,19,0,0,0,23
NO_PASSIVE,260956,264.94177366233976,2.2837503468237963,445.27907653515393,0,0,0,0,137
RANDOM,260956,34.603733724520545,1.1854767574031153,26.16653179727332,59,1,0,0,137
