policy,seed,position_error_final_m,velocity_error_final_mps,position_sigma_final_m,used_measurements,rejected_measurements,assoc_bad_accepted,outlier_accepted,eligible_measurements,scenario_id,n_donors,clutter_db,rcs,donor_sigma
METROLOGY_CONDITIONED_EIG,301024,209.94387588985296,2.389745901503108,97.2624407284486,26,0,0,0,26,1,4,5,10,30
NO_PASSIVE,301025,311.2288044180308,0.24389807469523375,445.27923823147125,0,0,0,0,24,1,4,5,10,30
RANDOM,301025,316.5213109809227,0.7439923236546407,326.62126912769725,24,0,0,0,24,1,4,5,10,30
HIGHEST_SNR,301025,316.5213109809227,0.7439923236546407,326.62126912769725,24,0,0,0,24,1,4,5,10,30
SHORTEST_PULSE,301025,316.5213109809227,0.7439923236546407,326.62126912769725,24,0,0,0,24,1,4,5,10,30
METROLOGY_CONDITIONED_EIG,301025,316.5213109809227,0.7439923236546407,326.62126912769725,24,0,0,0,24,1,4,5,10,30
NO_PASSIVE,301026,220.88290277038442,2.058489088068073,445.27923823147125,0,0,0,0,3,1,4,5,10,30
RANDOM,301026,186.35261324598065,2.063862714375172,318.87911446418144,3,0,0,0,3,1,4,5,10,30
HIGHEST_SNR,301026,186.35261324598065,2.063862714375172,318.87911446418144,3,0,0,0,3,1,4,5,10,30
SHORTEST_PULSE,301026,186.35261324598065,2.063862714375172,318.87911446418144,3,0,0,0,3,1,4,5,10,30
METROLOGY_CONDITIONED_EIG,301026,186.35261324598065,2.063862714375172,318.87911446418144,3,0,0,0,3,1,4,5,10,30
NO_PASSIVE,301027,366.8168060869171,1.4240617040082588,445.27923823147125,0,0,0,0,39,1,4,5,10,30
RANDOM,301027,31.862709795523962,1.4212950264292028,39.21337504308352,31,0,0,0,39,1,4,5,10,30
HIGHEST_SNR,301027,161.19143950862755,1.6413976869444924,192.77486984726667,31,0,0,0,39,1,4,5,10,30
SHORTEST_PULSE,301027,5.36128695532141,0.4919012608499085,37.27259106897943,31,0,0,0,39,1,4,5,10,30
METROLOGY_CONDITIONED_EIG,301027,33.7473233141227,1.5534899951060737,38.93452902911374,31,0,0,0,39,1,4,5,10,30
NO_PASSIVE,301028,354.05019998540206,2.4597528011343837,445.27923823147125,0,0,0,0,1,1,4,5,10,30
RANDOM,301028,325.3214485931944,2.471456494161779,315.63377256768433,1,0,0,0,1,1,4,5,10,30
HIGHEST_SNR,301028,325.3214485931944,2.471456494161779,315.63377256768433,1,0,0,0,1,1,4,5,10,30
SHORTEST_PULSE,301028,325.3214485931944,2.471456494161779,315.63377256768433,1,0,0,0,1,1,4,5,10,30
METROLOGY_CONDITIONED_EIG,301028,325.3214485931944,2.471456494161779,315.63377256768433,1,0,0,0,1,1,4,5,10,30
NO_PASSIVE,301029,472.7304678700772,1.2247840940431796,445.27923823147125,0,0,0,0,35,1,4,5,10,30
RANDOM,301029,381.2735867074728,1.1092216260943248,222.04459846888312,27,0,0,0,35,1,4,5,10,30
HIGHEST_SNR,301029,544.9815835966044,0.9913192559741982,308.6180622359416,27,0,0,0,35,1,4,5,10,30
SHORTEST_PULSE,301029,362.9611132991677,1.0127417491615884,209.55824310025278,27,0,0,0,35,1,4,5,10,30
METROLOGY_CONDITIONED_EIG,301029,362.9611132991677,1.0127417491615884,209.55824310025278,27,0,0,0,35,1,4,5,10,30
NO_PASSIVE,302000,109.99855657158756,2.140847936844606,445.27923823147125,0,0,0,0,21,2,4,5,10,100
RANDOM,302000,130.38825732935032,2.5059209614171216,313.5092423900735,21,0,0,0,21,2,4,5,10,100
HIGHEST_SNR,302000,130.38825732935032,2.5059209614171216,313.5092423900735,21,0,0,0,21,2,4,5,10,100
SHORTEST_PULSE,302000,130.38825732935032,2.5059209614171216,313.5092423900735,21,0,0,0,21,2,4,5,10,100
METROLOGY_CONDITIONED_EIG,302000,130.38825732935032,2.5059209614171216,313.5092423900735,21,0,0,0,21,2,4,5,10,100
NO_PASSIVE,302001,170.4567328101468,1.5929719232008188,445.27923823147125,0,0,0,0,9,2,4,5,10,100
RANDOM,302001,170.5931391703935,1.387596075662108,101.1190564934533,9,0,0,0,9,2,4,5,10,100
HIGHEST_SNR,302001,170.5931391703935,1.387596075662108,101.1190564934533,9,0,0,0,9,2,4,5,10,100
SHORTEST_PULSE,302001,170.5931391703935,1.387596075662108,101.1190564934533,9,0,0,0,9,2,4,5,10,100
METROLOGY_CONDITIONED_EIG,302001,170.5931391703935,1.387596075662108,101.1190564934533,9,0,0,0,9,2,4,5,10,100
NO_PASSIVE,302002,486.0618335027516,0.8038334458106291,445.27923823147125,0,0,0,0,42,2,4,5,10,100
RANDOM,302002,10.13667725537704,0.7252069024831027,38.43488903048685,29,0,0,0,42,2,4,5,10,100
HIGHEST_SNR,302002,31.360990770884534,1.3794926790768887,38.7830881896555,29,0,0,0,42,2,4,5,10,100
