policy,seed,position_error_final_m,velocity_error_final_mps,position_sigma_final_m,used_measurements,rejected_measurements,assoc_bad_accepted,outlier_accepted,eligible_measurements,scenario_id,n_donors,clutter_db,rcs,donor_sigma,maneuver_deg,assoc_error_prob,outlier_prob
METROLOGY_CONDITIONED_EIG,501026,20.25432370171403,0.7130095940691699,28.564192801935054,58,0,0,0,95,1,12,10,100,30,0,0.0,0.0
NO_PASSIVE,501027,400.5855108247037,1.0900035334336056,445.27923823147125,0,0,0,0,71,1,12,10,100,30,0,0.0,0.0
RANDOM,501027,7.560428492311205,0.6716065446304186,21.792179563104593,47,1,0,0,71,1,12,10,100,30,0,0.0,0.0
HIGHEST_SNR,501027,18.41202740218626,0.9083350673315801,22.043942698524788,47,1,0,0,71,1,12,10,100,30,0,0.0,0.0
SHORTEST_PULSE,501027,10.787536823166874,0.7213215465005949,21.158573268116545,47,1,0,0,71,1,12,10,100,30,0,0.0,0.0
METROLOGY_CONDITIONED_EIG,501027,13.13320359989977,0.7578691555655,20.93742346588736,47,1,0,0,71,1,12,10,100,30,0,0.0,0.0
NO_PASSIVE,501028,575.3034385036482,0.8761723418404718,445.27923823147125,0,0,0,0,80,1,12,10,100,30,0,0.0,0.0
RANDOM,501028,11.649343593275422,0.36049177799582627,30.125293737092907,41,1,0,0,80,1,12,10,100,30,0,0.0,0.0
HIGHEST_SNR,501028,2.404159780192994,0.43182964861115714,29.60345753481316,42,0,0,0,80,1,12,10,100,30,0,0.0,0.0
SHORTEST_PULSE,501028,5.69983225128453,0.1635992212546138,24.206714911223145,41,1,0,0,80,1,12,10,100,30,0,0.0,0.0
METROLOGY_CONDITIONED_EIG,501028,25.141517386363848,0.5275347504710322,22.616945783026082,42,0,0,0,80,1,12,10,100,30,0,0.0,0.0
NO_PASSIVE,501029,501.6511183137149,0.7770257025081285,445.27923823147125,0,0,0,0,104,1,12,10,100,30,0,0.0,0.0
RANDOM,501029,40.44026338733786,1.281720453231007,31.283121905275927,39,0,0,0,104,1,12,10,100,30,0,0.0,0.0
HIGHEST_SNR,501029,12.909806413629436,0.9019335692828109,94.39081722421805,39,0,0,0,104,1,12,10,100,30,0,0.0,0.0
SHORTEST_PULSE,501029,27.29697384739013,0.5498695895648801,23.4955830134489,39,0,0,0,104,1,12,10,100,30,0,0.0,0.0
METROLOGY_CONDITIONED_EIG,501029,38.68531773053893,0.9064238207447578,22.355701193271404,39,0,0,0,104,1,12,10,100,30,0,0.0,0.0
NO_PASSIVE,502000,409.40430243204133,1.942943902169829,445.27923823147125,0,0,0,0,142,2,12,10,100,30,0,0.0,0.05
RANDOM,502000,30.68629331949172,0.7508459362495805,45.35782035327415,53,3,0,0,142,2,12,10,100,30,0,0.0,0.05
HIGHEST_SNR,502000,26.67757718950744,0.716351542554448,45.46966173229356,54,2,0,0,142,2,12,10,100,30,0,0.0,0.05
SHORTEST_PULSE,502000,22.49910684667372,0.6430988217337996,40.880085599199404,56,0,0,0,142,2,12,10,100,30,0,0.0,0.05
METROLOGY_CONDITIONED_EIG,502000,18.636462245300937,0.7884657538590842,31.645825428515547,55,1,0,0,142,2,12,10,100,30,0,0.0,0.05
NO_PASSIVE,502001,486.709461208326,2.013786510833727,445.27923823147125,0,0,0,0,158,2,12,10,100,30,0,0.0,0.05
RANDOM,502001,12.50787572216493,0.32606366623343547,17.84026274567717,58,2,0,1,158,2,12,10,100,30,0,0.0,0.05
HIGHEST_SNR,502001,83.77768840246166,1.8682236054804262,30.020984632757273,57,3,0,1,158,2,12,10,100,30,0,0.0,0.05
SHORTEST_PULSE,502001,3.555514114171536,0.44979136673727327,13.607124316437329,59,1,0,0,158,2,12,10,100,30,0,0.0,0.05
METROLOGY_CONDITIONED_EIG,502001,1.9368201212483362,0.10534546258964118,13.768624262277708,58,2,0,0,158,2,12,10,100,30,0,0.0,0.05
NO_PASSIVE,502002,536.4348014875601,2.1095668413972,445.27923823147125,0,0,0,0,73,2,12,10,100,30,0,0.0,0.05
RANDOM,502002,19.816640986724668,0.3075906189323631,22.36374138999951,46,2,0,0,73,2,12,10,100,30,0,0.0,0.05
HIGHEST_SNR,502002,7.202282494910699,0.2951763575668572,26.73909422867421,45,3,0,0,73,2,12,10,100,30,0,0.0,0.05
SHORTEST_PULSE,502002,23.77469409979489,0.7768901141152601,21.14563480736497,45,3,0,0,73,2,12,10,100,30,0,0.0,0.05
METROLOGY_CONDITIONED_EIG,502002,23.77469409979489,0.7768901141152601,21.14563480736497,45,3,0,0,73,2,12,10,100,30,0,0.0,0.05
NO_PASSIVE,502003,117.98396767857783,2.5695243568088606,445.27923823147125,0,0,0,0,104,2,12,10,100,30,0,0.0,0.05
RANDOM,502003,15.865415647139423,0.31388749855177006,28.639649271412484,53,0,0,0,104,2,12,10,100,30,0,0.0,0.05
